,cartodb_id,the_geom,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged
1,15104,0101000020E61000004D49D6E1E87B52C0B4E6C75F5A604440,46800,,NYCHHS: 7072,Growing Up Green,39-37,28 Street,39-37 28 Street,Long Island City,Queens,4,11101.0,40.752758,-73.936089,1001957.2901,213533.1413,4436781.0,4003980001.0,401.0,26,3100,QN68,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Growing Up Green Charter School,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,
63,10806,0101000020E610000038A27BD6357852C090831266DA6A4440,33038,,NYCACS: 137802,Bronx River Child Care,1555,East  174 Street,1555 East  174 Street,Bronx,Bronx,2,10472.0,40.83479,-73.878286,1017930.7979,243437.2761,2092903.0,2038860002.0,209.0,18,6200,BX08,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 54,,NYCACS: Seats in Contract,,,,,Non-public,Tremont Crotona Day Care Center,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
67,10801,0101000020E61000009929ADBF258052C0183F8D7BF35F4440,37470,,NYCACS: 705201,Hudson Guild Children's Ctr,459,West   26 Street,459 West   26 Street,New York,Manhattan,1,10001.0,40.749618,-74.002304,983611.5806,212382.8443,1083583.0,1007240001.0,104.0,3,9700,MN13,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 73,,NYCACS: Seats in Contract,,,,,Non-public,Hudson Guild,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
68,10874,0101000020E6100000CB4BFE277F7B52C02C9B3924B56A4440,34484,,NYCACS: 120101,Mid Bronx Ccrp Ecc 4,1020,Summit Avenue,1020 Summit Avenue,Bronx,Bronx,2,10452.0,40.833653,-73.929636,1003721.5801,243007.3494,2003457.0,2025250007.0,204.0,8,18900,BX26,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 58,,NYCACS: Seats in Contract,,,,,Non-public,"Mid Bronx CCRP Early Childhood Center, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
69,10918,0101000020E61000008CA03193A87452C0C7D45DD905694440,32885,,NYCACS: 117301,Throggs Neck Child C C,461,Swinton Avenue,461 Swinton Avenue,Bronx,Bronx,2,10465.0,40.820491,-73.822789,1033298.3753,238253.8569,2093888.0,2055820001.0,210.0,13,14400,BX52,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Child Care,NYCACS: 40,,NYCACS: Seats in Contract,,,,,Non-public,Tremont Crotona Day Care Center,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCACS,NYCACS: Contractor Data,,NYCACS: 2016-08-27,acs_facilities_daycareheadstart,
70,11151,0101000020E6100000A7583508737A52C0D7DAFB54156C4440,15124,,,PS 170,1594,Townsend Avenue,1594 Townsend Avenue,Bronx,Bronx,2,10452.0,40.844401,-73.913271,1008246.1133,246927.3819,2103870.0,2028470041.0,204.0,14,22702,BX41,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Childhood Center,,,,,,,City Owned,Public,NYC Department of Education,NYCDOE,NYCDOE: City,NYC Department of Education,NYCDOE,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,
72,11190,0101000020E610000016139B8F6B7F52C0BABE0F0709514440,70615,,NYCHHS: CT106820171403724,Zion Day Care Center,5000,14 Avenue,5000 14 Avenue,Brooklyn,Brooklyn,3,11219.0,40.633088,-73.99094,986764.7394,169927.6295,3138079.0,3056490038.0,312.0,44,23600,BK88,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,Zion Day Care Center,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-08-27,hhs_facilities_financialscontracts,
73,11289,0101000020E61000001E6B4606B97C52C01FF64201DB514440,49674,,NYCHHS: CT106820171403757,Nostrand Child Care Center,1886,Nostrand Avenue,1886 Nostrand Avenue,Brooklyn,Brooklyn,3,11226.0,40.639496,-73.948793,998461.5202,172266.2778,3328292.0,3052160040.0,317.0,45,82800,BK95,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,"The Friends Of Crown Heights Educational Centers, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-08-27,hhs_facilities_financialscontracts,
74,11443,0101000020E6100000D95BCAF9627D52C01EC2F869DC594440,70848,,NYCHHS: CT106820171403864,638 Bedford Avenue,638,Bedford Avenue,638 Bedford Avenue,Brooklyn,Brooklyn,3,11249.0,40.702039,-73.959166,995572.2157,195050.8797,3332990.0,3022100038.0,301.0,33,53700,BK72,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,Yeshiva Kehilath Yakov,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-08-27,hhs_facilities_financialscontracts,
75,11516,0101000020E610000084F1D3B8377A52C054E6E61BD16D4440,70808,,NYCHHS: CT106820171403829,Xamb,2167,University Avenue,2167 University Avenue,Bronx,Bronx,2,10453.0,40.857944,-73.909651,1009242.6804,251862.6712,2014731.0,2032170060.0,207.0,14,25500,BX30,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,Trabajamos Community Head Start,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-08-27,hhs_facilities_financialscontracts,
