Cluster ID,confidence_score,,cartodb_id,the_geom,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged,canonical_,canonical_capacity,canonical_proptype,canonical_city,canonical_area,canonical_cartodb_id,canonical_censtract,canonical_uid,canonical_latitude,canonical_nta,canonical_pgtable,canonical_util,canonical_the_geom,canonical_overlevel,canonical_addressnum,canonical_dataname,canonical_facdomain,canonical_longitude,canonical_overagency,canonical_boro,canonical_facname,canonical_captype,canonical_opabbrev,canonical_facgroup,canonical_optype,canonical_dataurl,canonical_address,canonical_bin,canonical_datadate,canonical_ycoord,canonical_uid_merged,canonical_borocode,canonical_commboard,canonical_council,canonical_idagency,canonical_zipcode,canonical_opname,canonical_streetname,canonical_overabbrev,canonical_utilrate,canonical_idold,canonical_facsubgrp,canonical_factype,canonical_xcoord,canonical_bbl,canonical_datasource,canonical_areatype
390,,0,3406,0101000020E6100000F2CF0CE2037A52C0902FA182C36F4440,13956,,,City Owned Property,,,West Kingsbridge Rd,Bronx,Bronx,2,10463.0,40.873154,-73.906487,1010112.0001,257405.0,,2032380127.0,207.0,14,26900,BX30,Administration of Government,Other Property,Miscellaneous Use,No Use-Vacant Land,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,1,15104,0101000020E61000004D49D6E1E87B52C0B4E6C75F5A604440,46800,,NYCHHS: 7072,Growing Up Green,39-37,28 Street,39-37 28 Street,Long Island City,Queens,4,11101.0,40.752758,-73.936089,1001957.2901,213533.1413,4436781.0,4003980001.0,401.0,26,3100,QN68,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,,,,,,,,Non-public,Growing Up Green Charter School,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-08-27,hhs_facilities_proposals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,2,28321,0101000020E61000003EE76ED74B7952C0207D93A6416B4440,31499,,NYCDYCD: 48603,Cary Leeds Center,,,Crotona Park,Bronx,Bronx,2,10457.0,40.837941,-73.895254,1013234.0,244578.9997,,,203.0,17,16300,BX99,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,New York Junior Tennis League,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-08-27,dycd_facilities_otherprograms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,3,35569,0101000020E6100000A4349BC7617C52C09291B3B0A7654440,40317,,,Aguilar Center For Reading And Writing,174,East  110 Street,174 East  110 Street,New York,Manhattan,1,10029.0,40.79418,-73.943468,999903.0567,228623.0568,1052167.0,1016370141.0,111.0,8,17200,MN33,Libraries and Cultural Programs,Libraries,Public Libraries,Public Libraries,,,,,,,,Non-public,New York Public Library,NYPL,Non-public Oversight,New York Public Library,NYPL,NYCOMB,NYCOMB: District Resource Statement,,NYCOMB: 2016-08-27,omb_facilities_libraryvisits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,4,109,0101000020E6100000C0ED0912DB7C52C09850C1E105534440,19777,,,67th Pct Off-Street Parking,,,Snyder Avenue,Brooklyn,Brooklyn,3,11226.0,40.648617,-73.950871,997883.0,175588.9999,,3051110023.0,317.0,40,82400,BK95,Administration of Government,"City Agency Parking, Maintenance, and Storage",City Agency Parking,Outdoor Parking,,,,,,,City Owned,Public,NYC Police Department,NYPD,NYPD: City,NYC Police Department,NYPD,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,5,32778,0101000020E610000038F92D3A596F52C07B336ABE4A5C4440,26186,,,Mt. Sinai SDA Church,217-10,93 Avenue,217-10 93 Avenue,Queens Village,Queens,4,11428.0,40.721031,-73.739821,1056369.766,202074.788,4226764.0,4106230001.0,413.0,23,56600,QN34,Health and Human Services,Human Services,Soup Kitchens and Food Pantries,Food Pantry,,,,,,,,Non-public,Mt. Sinai SDA Church,Non-public,Non-public Oversight,Non-public,Non-public,FBNYC,FBNYC: FBNYC Food Pantry Soup Kitchen List 8-5-16,,FBNYC: 2016-08-27,foodbankny_facilities_foodbanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,6,273,0101000020E6100000A60BB1FA237952C09D84D217426C4440,7451,,,Bergen Bldg/NYC Municipal Bldg,1932,Arthur Avenue,1932 Arthur Avenue,Bronx,Bronx,2,10457.0,40.845767,-73.892821,1013903.8258,247431.4406,2009911.0,2029470018.0,206.0,17,36901,BX17,Administration of Government,"City Agency Parking, Maintenance, and Storage",Custodial,Custodial,,,,,,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS: City,NYC Department of Citywide Administrative Services,NYCDCAS,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,7,32985,0101000020E61000005E9CF86A477952C072C3EFA65B544440,42353,,,Church of God of Prophecy,71,Malta Street,71 Malta Street,Brooklyn,Brooklyn,3,11207.0,40.659047,-73.894984,1013386.8632,179402.2868,3096263.0,3042950052.0,305.0,42,113000,BK85,Health and Human Services,Human Services,Soup Kitchens and Food Pantries,Food Pantry,,,,,,,,Non-public,Church of God of Prophecy,Non-public,Non-public Oversight,Non-public,Non-public,FBNYC,FBNYC: FBNYC Food Pantry Soup Kitchen List 8-5-16,,FBNYC: 2016-08-27,foodbankny_facilities_foodbanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,8,779,0101000020E61000008997A773458052C00306499F565B4440,10420,,,Surrogate Court,23,Chambers Street,23 Chambers Street,New York,Manhattan,1,10007.0,40.713581,-74.004239,983074.8871,199253.4792,1001670.0,1001530024.0,101.0,1,3100,MN24,Administration of Government,"Offices, Training, and Testing",Offices,Agency Office,,,,,,,City Owned,Non-public,Non-public,Non-public,Non-public Oversight,Non-public,Non-public,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,9,815,0101000020E6100000126BF129007552C07041B62C5F5B4440,4607,,,Queens Borough Hall,120-55,Queens Boulevard,120-55 Queens Boulevard,Kew Gardens,Queens,4,11415.0,40.713842,-73.828135,1031894.9186,199395.0616,4052812.0,4022740002.0,409.0,29,21600,QN60,Administration of Government,"Offices, Training, and Testing",Offices,Borough Office,,,,,,,City Owned,Public,NYC Department of Transportation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2016-10-20,dcas_facilities_colp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
